label,GLCM_Energy,GLCM_Contrast,RGB_mean_1,RGB_mean_3,HSV_mean_1,HSV_std_1
0,0.0186214355632174,95.13977832512316,99.08574141907476,134.67548500881836,98.80151946818611,81.37943026627114
0,0.5729055308338726,2073.6015096015094,88.94637345679013,88.94637345679013,0.0,0.0
0,0.0143011529105455,240.43020937188436,130.65489298527774,181.94043053321784,126.868798713349,75.53215419336081
0,0.4794512931700631,3356.0084004046266,130.7467243186583,130.7467243186583,0.0,0.0
0,0.023621432089667,94.3535385480357,109.77380952380952,164.3341362938137,80.73565144532887,82.07038898728815
0,0.5392919132291749,2796.7627380701388,133.4903295629102,133.4903295629102,0.0,0.0
0,0.0611302228872162,2.653173645624638,146.20193518457154,174.0994543486425,161.50884750480483,36.582733753246615
0,0.7337516659752635,291.6779040647274,175.9679364666501,175.9679364666501,0.0,0.0
0,0.037305824739469,9.679364187559989,113.97104299407688,186.87809469534184,22.05170126497132,51.349814981352935
0,0.6611711098580266,981.7780744546546,165.95505302338648,165.95505302338648,0.0,0.0
0,0.0480567187739336,7.040926640926642,150.8195391705069,210.918801843318,132.83388632872504,75.31565175026851
0,0.6408647143162176,698.718594282717,122.12262251062876,122.12262251062876,0.0,0.0
0,0.0643189207721848,5.010930425697217,147.75041344358496,221.6509735929581,38.869565217391305,67.27069766082917
0,0.6859075766789436,571.197758362781,165.70673575129533,165.70673575129533,0.0,0.0
0,0.0336089183688482,17.60852081581161,80.70627028158694,106.99908405736416,77.18771590076416,76.04922191945616
0,0.5962968195539494,1165.951403490328,132.1449544645661,132.1449544645661,0.0,0.0
0,0.0195210591004861,134.06535044892712,92.12101895734595,143.82774881516588,52.11563981042654,75.89561640516237
0,0.6521119772993464,2034.047917311677,193.2137440758294,193.2137440758294,0.0,0.0
0,0.0235645356089356,64.55166386554622,120.31652661064426,185.5077364279045,18.84400426837401,47.09307286006591
0,0.6778535716405383,1254.051899159664,196.4458450046685,196.4458450046685,0.0,0.0
0,0.0252403625258227,114.8518236310068,114.97267787185643,180.7767976747125,24.586579047137626,54.259111431601966
0,0.6759673274394364,1161.2548511632633,181.91168962466827,181.91168962466827,0.0,0.0
0,0.027640944145319,38.271116205254806,113.37598361854614,190.9508556384379,37.04153868655843,69.6954781584636
0,0.5867913393897118,2323.9131499351865,169.67838438912403,169.67838438912403,0.0,0.0
0,0.0260679402953532,66.48739783683257,131.59037900874637,192.62677356656948,55.21885325558795,76.80759355584249
0,0.6065020710442961,2150.218959526256,182.6761418853256,182.6761418853256,0.0,0.0
